Dimensions,Metric1,Metric2,toremove,W-val,alternative,p-val,RBC,CLES
3,min,product,Wilcoxon,0.0,greater,1.0,-1.0,0.005994444444444445
3,min,lukasiewicz,Wilcoxon,45150.0,greater,2.1902805303065274e-51,1.0,0.9973166666666666
3,product,min,Wilcoxon,45150.0,greater,1.9112986524988883e-51,1.0,0.9940055555555556
3,product,lukasiewicz,Wilcoxon,45150.0,greater,1.944641351070324e-51,1.0,1.0
3,lukasiewicz,min,Wilcoxon,0.0,greater,1.0,-1.0,0.002683333333333333
3,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
4,min,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
4,min,lukasiewicz,Wilcoxon,44769.0,greater,1.026915831064929e-49,0.9887543252595157,0.9162888888888889
4,product,min,Wilcoxon,45150.0,greater,2.9698002145225845e-51,1.0,1.0
4,product,lukasiewicz,Wilcoxon,45150.0,greater,2.868351128510352e-51,1.0,1.0
4,lukasiewicz,min,Wilcoxon,381.0,greater,1.0,-0.9887543252595157,0.08371111111111111
4,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
5,min,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
5,min,lukasiewicz,Wilcoxon,43411.5,greater,5.032968582275335e-44,0.9488314883148832,0.8515055555555555
5,product,min,Wilcoxon,45150.0,greater,2.917665139522034e-51,1.0,1.0
5,product,lukasiewicz,Wilcoxon,45150.0,greater,2.834131248647819e-51,1.0,1.0
5,lukasiewicz,min,Wilcoxon,1738.5,greater,1.0,-0.9488314883148832,0.14849444444444446
5,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
6,min,product,Wilcoxon,0.0,greater,1.0,-1.0,6.666666666666667e-05
6,min,lukasiewicz,Wilcoxon,45033.0,greater,8.96446834943374e-51,0.9976155968020946,0.9645
6,product,min,Wilcoxon,45150.0,greater,2.978531309441851e-51,1.0,0.9999333333333333
6,product,lukasiewicz,Wilcoxon,45150.0,greater,2.875870395495794e-51,1.0,1.0
6,lukasiewicz,min,Wilcoxon,117.0,greater,1.0,-0.9976155968020946,0.0355
6,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
7,min,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0012222222222222222
7,min,lukasiewicz,Wilcoxon,45149.5,greater,2.749888487694103e-51,1.0,0.99745
7,product,min,Wilcoxon,45150.0,greater,2.9710645700040445e-51,1.0,0.9987777777777778
7,product,lukasiewicz,Wilcoxon,45150.0,greater,2.781128489531872e-51,1.0,1.0
7,lukasiewicz,min,Wilcoxon,0.5,greater,1.0,-1.0,0.00255
7,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
8,min,product,Wilcoxon,28.5,greater,1.0,-0.9998831174902987,0.030827777777777777
8,min,lukasiewicz,Wilcoxon,45150.0,greater,2.7622294017002986e-51,1.0,0.9997611111111111
8,product,min,Wilcoxon,45121.5,greater,3.968542995057465e-51,0.9998831174902987,0.9691722222222222
8,product,lukasiewicz,Wilcoxon,45150.0,greater,2.775417634908398e-51,1.0,1.0
8,lukasiewicz,min,Wilcoxon,0.0,greater,1.0,-1.0,0.00023888888888888888
8,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
9,min,product,Wilcoxon,451.5,greater,1.0,-1.0,0.11715
9,min,lukasiewicz,Wilcoxon,45150.0,greater,2.7940726781030954e-51,1.0,0.9999888888888889
9,product,min,Wilcoxon,44698.5,greater,2.4092033250295387e-49,1.0,0.88285
9,product,lukasiewicz,Wilcoxon,45150.0,greater,2.827657955358003e-51,1.0,1.0
9,lukasiewicz,min,Wilcoxon,0.0,greater,1.0,-1.0,1.1111111111111112e-05
9,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
10,min,product,Wilcoxon,4935.0,greater,1.0,-1.0,0.30614444444444444
10,min,lukasiewicz,Wilcoxon,45150.0,greater,2.3248258342328076e-51,1.0,0.9999888888888889
10,product,min,Wilcoxon,40215.0,greater,7.189358299199182e-33,1.0,0.6938555555555556
10,product,lukasiewicz,Wilcoxon,45150.0,greater,2.574383327372929e-51,1.0,1.0
10,lukasiewicz,min,Wilcoxon,0.0,greater,1.0,-1.0,1.1111111111111112e-05
10,lukasiewicz,product,Wilcoxon,0.0,greater,1.0,-1.0,0.0
